city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,hub.sku.day,city.sku.day,BasePlan,BaseRev
Chennai,NVL,113,pr_e7uk0s4evo8,Classic Eggs - Pack Of 30,Eggs,Eggs,Classic egg,,E,,425.0,Monday,2023-10-30,Online,Old,,3.0,3.0,1275.0,1275.0,,,,Tail,Low Volume,,Classic eggs,Eggs,,,,,,,,,,,,,,,,,,,,,
Mumbai,MUL,80,pr_fhijtsimpj7,Black Pepper Chicken,Ready to Cook,Ready to Cook,Chicken,,E,Head,149.0,Tuesday,2023-01-17,Online,Old,,1.0,1.0,149.0,149.0,,,,VA-Head,High AF50,,Chicken,Chicken - BL,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Yousufguda,18,pr_jxjliso7d55,Lamb Mince - 225g,Lamb & Goat,Lamb & Goat,Lamb carcass,,E,,385.0,Tuesday,2024-01-16,Online,Old,,4.0,5.0,1540.0,1925.0,,,,Tail,High Volume,,Lamb carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,Yousufgudapr_jxjliso7d55Tuesday,Hyderabadpr_jxjliso7d55Tuesday,True,True
Hyderabad,Yousufguda,18,pr_io2l5gg3wmg,Chicken Lyoner with Jalapeno and Cheese,Cold Cuts,Cold Cuts,Chicken Lyoner with Jalapeno and Cheese,,E,,246.0,Wednesday,2023-04-26,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Tail,High Volume,,Chicken,Cold Cuts - All,,,,,,,,,,,,,,,,,,,,,
Mumbai,KHGR,89,pr_11xl5b1te3z,Achari Fish Tikka (Mini),Ready to Cook,Ready to Cook,Basa,,E,,178.0,Wednesday,2023-09-06,Online,Old,,1.0,1.0,178.0,178.0,,,,VA-Tail,Low Volume,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
Bangalore,SI,-2,pr_3nqjtznab5c,Chicken Breast Boneless,Chicken,Chicken,Chicken Breast Boneless,,E,,285.0,Thursday,2023-05-18,Merchant,Old,,371.0,371.0,105735.0,105735.0,,,,Tail,Merchant,,Chicken Breast Boneless,Chicken - BL,,,,,,,,,,,,,,,,,,,,,
Hyderabad,LBN,374,pr_av4kgtb3l1h,Chicken Curry Cut Small - Large Pack,Chicken,Chicken,Chicken,,E,,345.0,Sunday,2023-07-30,Online,Old,,97.0,103.0,33465.0,35535.0,,,,Head,Low Volume,,Chicken Curry Cut (Small),Chicken - CC,,,,,,,,,,,,,,,,,,,,,
Chennai,TNGR,95,pr_d8ajp44wgly,Sea Bass (Bhetki) fillet,Fish & Seafood,Fish & Seafood,Sea bass,,E,Tail,765.0,Saturday,2023-01-21,Online,Old,,0.0,0.0,0.0,0.0,,,,Tail,Non AF50,,Sea bass,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
Bangalore,KAM,2,pr_41jku6qp0fd,Seer Small - Steaks,Fish & Seafood,Fish & Seafood,Seer - small,,E,,869.0,Wednesday,2023-10-04,Online,Old,,5.0,6.0,4345.0,5214.0,,,,Torso,High Volume,,Seer,Fish & Seafood - Steaks,,,,,,,,,,,,,,,,,,,,,
Hyderabad,LBN,374,pr_meyku6qvzqq,Lamb - Mince,Lamb & Goat,Lamb & Goat,Lamb carcass,,E,,645.0,Thursday,2023-06-15,Online,Old,,1.0,1.0,645.0,645.0,,,,Torso,Low Volume,,Lamb carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,,,,
Hyderabad,CDN,50,pr_ntcjmw19kw5,Chicken Cutlet (Bengali Style),Ready to Cook,Ready to Cook,Chicken,,E,,222.0,Saturday,2023-09-02,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Head,High Volume,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,
Mumbai,GDB,154,pr_fhijtgw0ctk,Chicken Soup Bones - (Classic),Ready to Cook,Ready to Cook,Chicken,,E,,67.0,Saturday,2023-07-15,Online,Old,,13.0,13.0,871.0,871.0,,,,VA-Head,High Volume,,Chicken,Bone,,,,,,,,,,,,,,,,,,,,,
Pune,BNR,57,pr_59a6c5c60df4b,Chicken Curry Cut with Skin (Small - 12 to 14 Pieces),Chicken,Chicken,Whole Chicken with Skin,,E,,169.0,Sunday,2023-09-03,Online,Old,,0.0,0.0,0.0,0.0,,,,Tail,High Volume,,Chicken,Chicken - CC,,,,,,,,,,,,,,,,,,,,,
Pune,WKD,58,pr_f97k3ycat0z,Chicken Galantine,Ready to Cook,Ready to Cook,Shawarma,,E,Tail,1.0,Thursday,2023-01-26,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Tail,Non AF50,,Shawarma,Chicken - BL,,,,,,,,,,2.0,,,,,,,,,,,
NCR,SUN,20,pr_hn6k8alrcck,Tender Spring Chicken Curry Cut,Chicken,Chicken,Spring Chicken,,E,Torso,379.0,Friday,2023-01-13,Online,Old,,23.0,30.0,8717.0,11370.0,,,,Torso,High AF50,,Chicken,Chicken - CC,,,,,,,,,,,,,,,,,,,,,
Chennai,ANGR,138,pr_96hkwkfjg7l,Tilapia Large - Fillet,Fish & Seafood,Fish & Seafood,Tilapia (Large),,E,,275.0,Monday,2023-04-24,Online,Old,,0.0,0.0,0.0,0.0,,,,Tail,Low Volume,,Tilapia,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
Chennai,ECR,77,pr_fhijtzoq66l,Chicken Mince - Keema,Chicken,Chicken,Chicken,,E,,305.0,Tuesday,2023-08-29,Online,Old,,13.0,17.0,3965.0,5185.0,,,,Tail,High Volume,,Chicken Mince,Trimmings,,,,,,,,,,,,,,,,,,,,,
Vizag,MVP,183,pr_eq3lbgf566f,Chicken Keema - 250 gms (Mini Pack),Chicken,Chicken,Chicken,,E,,165.0,Wednesday,2023-10-18,Online,Old,,10.0,13.0,1650.0,2145.0,,,,Tail,Low Volume,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,
Bangalore,Indiranagar,4,pr_k0vkwxn86nt,Tilapia Small - Whole Cleaned & Gutted,Fish & Seafood,Fish & Seafood,Tilapia,,E,,139.0,Friday,2023-09-01,Online,Old,,2.0,3.0,278.0,417.0,,,,Tail,High Volume,,Tilapia,Fish & Seafood - Whole,,,,,,,,,,,,,,,,,,,,,
Kolkata,NWT,219,pr_dq5ku83oydt,Tilapia Medium - Fillet,Fish & Seafood,Fish & Seafood,Tilapia (Medium),,E,Head,199.0,Sunday,2023-01-22,Online,Old,,4.0,5.0,796.0,995.0,,,,Torso,Non AF50,,Tilapia,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
NCR,DWK,27,pr_59a6d117e3836,Fish Tikka,Ready to Cook,Ready to Cook,Basa,,E,,329.0,Sunday,2023-08-27,Online,Old,,4.0,4.0,1316.0,1316.0,,,,VA-Head,High Volume,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Kukatpally,16,pr_ov2jkm3yj3e,Goat Shoulder - Curry Cut,Lamb & Goat,Lamb & Goat,Goat carcass,,E,Head,679.0,Friday,2023-02-24,Online,Old,,7.0,9.0,4753.0,6111.0,,,,Torso,Non AF50,,Goat carcass,Lamb & Goat - SFG,,,,,Hyderabad,NA,,13.0,,,,,,,,,,,,,
Bangalore,BEL,7,pr_avakgtb7ywh,Chicken Curry Cut Large - Large Pack,Chicken,Chicken,Chicken,,E,,345.0,Sunday,2023-09-10,Online,Old,,35.0,41.0,12075.0,14145.0,,,,Torso,High Volume,,Chicken Curry Cut (Large),Chicken - CC,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Himayatnagar,25,pr_2phku6qunbl,Goat - Mince,Lamb & Goat,Lamb & Goat,Goat carcass,,E,,585.0,Sunday,2023-05-28,Online,Old,,21.0,24.0,12285.0,14040.0,,,,Head,High Volume,,Goat carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,,,,
Surat,SAT,1057,pr_ncplaqh86z8,Dakshin Pepper Fry Masala,Masalas,Masalas,,,E,,55.0,Friday,2023-06-30,Online,Old,,1.0,1.0,55.0,55.0,,,,VA-Tail,Low Volume,,,Masala,,,,,,,,,,,,,,,,,,,,,
